Date,Sort Code,Construction,Machine,Warp Set No,Weft Lot No,Picks,Length,Percentage,F Stops,FSPH,ATPFS,FCMPX,W Stops,WSPH,ATPWS,WCMPX,B Stops,BSPH,ATPBS,BCMPX,Speed
07/12/2023,27091902,60x40TENCEL 156X75 124,LOOM1,N/A,N/A,188221,66.3,52.3,7,0.58,25.43,3.7,73,6.08,207.16,38.8,9,0.75,56.89,4.8,499
07/12/2023,27091902,60x40TENCEL 156X75 124,LOOM1,N/A,N/A,188221,66.3,52.3,7,0.58,25.43,3.7,73,6.08,207.16,38.8,9,0.75,56.89,4.8,499
08/12/2023,27091903,60x40TENCEL 156X75 124,LOOM2,N/A,N/A,188222,66.4,52.4,8,0.59,25.44,3.8,74,6.09,207.17,38.9,10,0.76,56.9,4.9,499
09/12/2023,27091904,60x40TENCEL 156X75 124,LOOM3,N/A,N/A,188223,66.5,52.5,9,0.6,25.45,3.9,75,6.1,207.18,39,11,0.77,56.91,5,499
10/12/2023,27091905,60x40TENCEL 156X75 124,LOOM4,N/A,N/A,188224,66.6,52.6,10,0.61,25.46,4,76,6.11,207.19,39.1,12,0.78,56.92,5.1,499
11/12/2023,27091906,60x40TENCEL 156X75 124,LOOM5,N/A,N/A,188225,66.7,52.7,11,0.62,25.47,4.1,77,6.12,207.2,39.2,13,0.79,56.93,5.2,499
07/12/2023,27091902,60x40TENCEL 156X75 124,LOOM6,N/A,N/A,188221,66.3,52.3,7,0.58,25.43,3.7,73,6.08,207.16,38.8,9,0.75,56.89,4.8,499
08/12/2023,27091903,60x40TENCEL 156X75 124,LOOM7,N/A,N/A,188222,66.4,52.4,8,0.59,25.44,3.8,74,6.09,207.17,38.9,10,0.76,56.9,4.9,499
09/12/2023,27091904,60x40TENCEL 156X75 124,LOOM8,N/A,N/A,188223,66.5,52.5,9,0.6,25.45,3.9,75,6.1,207.18,39,11,0.77,56.91,5,499
10/12/2023,27091905,60x40TENCEL 156X75 124,LOOM9,N/A,N/A,188224,66.6,52.6,10,0.61,25.46,4,76,6.11,207.19,39.1,12,0.78,56.92,5.1,499
11/12/2023,27091906,60x40TENCEL 156X75 124,LOOM9,N/A,N/A,188225,66.7,52.7,11,0.62,25.47,4.1,77,6.12,207.2,39.2,13,0.79,56.93,5.2,499
Total,,,,,,2070451,731.3,52.48,97,6.58,279.93,42.7,823,67.08,2278.96,428.8,119,8.45,625.99,54.8,5489
