Date,Sort_code,Construction,Machine,Warp_Set_No,Weft_Lot_No,Picks,Length,Percentage,F_Stops,Fsph,Atpfs,Fcmpx,W_Stops,Wsph,Atpws,Wcmpx,B_Stops,Bsph,Atpbs,Bcmpx,Speed
9/26/2024,1001,LOOM09,"60*80 195*72/4 123"" Dobby HB",N/A,N/A,344282,121.20,79.70,28,2.33,25.32,8.1,33,2.75,163.45,9.6,14,1.17,77,4.1,600
9/26/2024,1001,LOOM11,"60*80 195*72/4 123"" Dobby HB",N/A,N/A,354237,124.70,82.10,28,2.33,20.39,7.9,27,2.25,123.41,7.6,19,1.58,75.37,5.4,599
9/26/2024,1001,LOOM21,"60*80 195*72/4 123"" Dobby HB",N/A,N/A,372128,131.00,86.20,33,2.75,23.12,8.9,25,2.08,112.84,6.7,16,1.33,54.56,4.3,600
9/26/2024,1001,LOOM22,"60*80 195*72/4 123"" Dobby HB",N/A,N/A,386903,136.20,89.50,22,1.83,25,5.7,28,2.33,80.54,7.2,16,1.33,43.63,4.1,600
9/26/2024,1001,LOOM23,"60*80 195*72/4 123"" Dobby HB",N/A,N/A,401441,141.30,92.90,18,1.5,26.44,4.5,11,0.92,77.36,2.7,22,1.83,45.27,5.5,600
9/26/2024,1001,LOOM24,"60*80 195*72/4 123"" Dobby HB",N/A,N/A,383483,135.00,88.70,37,3.08,27.43,9.6,19,1.58,79.68,5,20,1.67,48.5,5.2,600
9/25/2024,1024,LOOM06,"60sCC*60CW 162*56/2 122"" Plain",N/A,N/A,301582,136.60,72.80,36,3,38.67,11.9,36,3,195.78,11.9,12,1,68.75,4,575
9/25/2024,1024,LOOM14,"60sCC*60CW 162*56/2 122"" Plain",N/A,N/A,340617,154.30,78.80,55,4.58,36.44,16.1,27,2.25,138.74,7.9,14,1.17,84.57,4.1,600
9/25/2024,1024,LOOM27,"60sCC*60CW 162*56/2 122"" Plain",N/A,N/A,367242,166.40,85.00,43,3.58,44.09,11.7,15,1.25,205.07,4.1,14,1.17,70.14,3.8,600
9/25/2024,1024,LOOM31,"60sCC*60CW 162*56/2 122"" Plain",N/A,N/A,381179,172.70,88.20,34,2.83,48.03,8.9,16,1.33,124.19,4.2,13,1.08,65.15,3.4,600
9/25/2024,1024,LOOM38,"60sCC*60CW 162*56/2 122"" Plain",N/A,N/A,282978,128.20,65.50,26,2.17,45.81,9.2,57,4.75,152.46,20.1,11,0.92,74,3.9,599
9/25/2024,1024,LOOM39,"60sCC*60CW 162*56/2 122"" Plain",N/A,N/A,340568,154.30,78.90,67,5.58,27.87,19.7,29,2.42,142.21,8.5,7,0.58,60,2.1,599
9/24/2024,1030,LOOM29,"60*60* 175*56/2 119""Pins Stripe",N/A,N/A,322538,146.10,81.40,78,6.5,41.38,24.2,15,1.25,206.07,4.7,9,0.75,89.78,2.8,550
9/23/2024,1040,LOOM01,"60s*60s 164*65/2 122.25""Satin",N/A,N/A,336461,131.20,77.80,22,1.83,30.91,6.5,32,2.67,202.16,9.5,9,0.75,51.44,2.7,600
9/23/2024,1040,LOOM02,"60s*60s 164*65/2 122.25""Satin",N/A,N/A,342670,133.60,79.40,27,2.25,44.04,7.9,36,3,106.42,10.5,8,0.67,66.25,2.3,600
9/23/2024,1040,LOOM13,"60s*60s 164*65/2 122.25""Satin",N/A,N/A,378406,147.60,84.20,17,1.42,28.06,4.5,24,2,163.33,6.3,11,0.92,71.36,2.9,624
9/23/2024,1040,LOOM15,"60s*60s 164*65/2 122.25""Satin",N/A,N/A,361784,141.10,80.40,42,3.5,30.81,11.6,21,1.75,211.81,5.8,7,0.58,74.86,1.9,625
9/23/2024,1040,LOOM16,"60s*60s 164*65/2 122.25""Satin",N/A,N/A,359746,140.30,83.30,23,1.92,46.35,6.4,19,1.58,241.26,5.3,8,0.67,64.5,2.2,599
9/23/2024,1040,LOOM17,"60s*60s 164*65/2 122.25""Satin",N/A,N/A,98778,38.90,40.80,17,1.42,67.76,17.2,21,1.75,134.71,21.3,4,0.33,71.5,4,597
9/23/2024,1040,LOOM47,"60s*60s 164*65/2 122.25""Satin",N/A,N/A,352937,137.60,81.60,7,0.58,27.43,2,40,3.33,120.23,11.3,15,1.25,108.33,4.3,600
9/22/2024,1042,LOOM18,"60*60 164*61/2 120""Plain",N/A,N/A,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/2024,1047,LOOM04,"60CC*40Tencel 156*75 124""Satin",N/A,N/A,374240,126.50,80.00,23,1.92,39.91,6.1,38,3.17,117.18,10.2,5,0.42,75.8,1.3,649
9/21/2024,1047,LOOM08,"60CC*40Tencel 156*75 124""Satin",N/A,N/A,374855,126.70,80.10,53,4.42,50.45,14.1,24,2,129,6.4,6,0.5,93.5,1.6,649
9/21/2024,1047,LOOM26,"60CC*40Tencel 156*75 124""Satin",N/A,N/A,370815,125.30,79.20,23,1.92,40.04,6.2,54,4.5,125.61,14.6,1,0.08,65,0.3,650
9/21/2024,1047,LOOM40,"60CC*40Tencel 156*75 124""Satin",N/A,N/A,406002,137.20,86.70,29,2.42,29,7.1,25,2.08,107.2,6.2,6,0.5,86.17,1.5,650
9/20/2024,1048,LOOM33,32 CC* 100D ;112*65/2 ;126,N/A,N/A,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2024,1049,LOOM35,"32CC*150Denier 112*75/2-126""Percale",N/A,N/A,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2024,1049,LOOM37,"32CC*150Denier 112*75/2-126""Percale",N/A,N/A,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/2024,1050,LOOM30,"60s*60s 195*90 128""satin",N/A,N/A,297143,83.80,75.00,42,3.5,46.1,14.1,34,2.83,176.74,11.4,8,0.67,72.38,2.7,550
9/17/2024,1053,LOOM20,60X60Tencilx195*95-124,N/A,N/A,289712,77.40,70.10,53,4.42,28.94,18.3,51,4.25,101.69,17.6,14,1.17,75.29,4.8,574
9/17/2024,1053,LOOM48,60X60Tencilx195*95-124,N/A,N/A,253122,67.60,61.30,53,4.42,38.38,20.9,51,4.25,158.63,20.1,8,0.67,109.88,3.2,573
9/16/2024,1054,LOOM46,100x120x220x67/7-120,N/A,N/A,7950,3.00,2.80,1,0.08,33,12.6,10,0.83,411.2,125.8,0,0,0,0,388
