Date,Sort_code,Construction,Machine,Warp_Set_No,Weft_Lot_No,Picks,Length,Percentage,F_Stops,Fsph,Atpfs,Fcmpx,W_Stops,Wsph,Atpws,Wcmpx,B_Stops,Bsph,Atpbs,Bcmpx,Speed
9/26/2024,1001,"60*80 195*72/4 123"" Dobby HB",LOOM09,N/A,N/A,344282,121.2,79.7,28,2.33,25.32,8.1,33,2.75,163.45,9.6,14,1.17,77,4.1,600
9/26/2024,1001,"60*80 195*72/4 123"" Dobby HB",LOOM11,N/A,N/A,354237,124.7,82.1,28,2.33,20.39,7.9,27,2.25,123.41,7.6,19,1.58,75.37,5.4,599
9/26/2024,1001,"60*80 195*72/4 123"" Dobby HB",LOOM21,N/A,N/A,372128,131,86.2,33,2.75,23.12,8.9,25,2.08,112.84,6.7,16,1.33,54.56,4.3,600
9/26/2024,1001,"60*80 195*72/4 123"" Dobby HB",LOOM22,N/A,N/A,386903,136.2,89.5,22,1.83,25,5.7,28,2.33,80.54,7.2,16,1.33,43.63,4.1,600
9/26/2024,1001,"60*80 195*72/4 123"" Dobby HB",LOOM23,N/A,N/A,401441,141.3,92.9,18,1.5,26.44,4.5,11,0.92,77.36,2.7,22,1.83,45.27,5.5,600
9/26/2024,1001,"60*80 195*72/4 123"" Dobby HB",LOOM24,N/A,N/A,383483,135,88.7,37,3.08,27.43,9.6,19,1.58,79.68,5,20,1.67,48.5,5.2,600
9/25/2024,1024,"60sCC*60CW 162*56/2 122"" Plain",LOOM06,N/A,N/A,301582,136.6,72.8,36,3,38.67,11.9,36,3,195.78,11.9,12,1,68.75,4,575
9/25/2024,1024,"60sCC*60CW 162*56/2 122"" Plain",LOOM14,N/A,N/A,340617,154.3,78.8,55,4.58,36.44,16.1,27,2.25,138.74,7.9,14,1.17,84.57,4.1,600
9/25/2024,1024,"60sCC*60CW 162*56/2 122"" Plain",LOOM27,N/A,N/A,367242,166.4,85,43,3.58,44.09,11.7,15,1.25,205.07,4.1,14,1.17,70.14,3.8,600
9/25/2024,1024,"60sCC*60CW 162*56/2 122"" Plain",LOOM31,N/A,N/A,381179,172.7,88.2,34,2.83,48.03,8.9,16,1.33,124.19,4.2,13,1.08,65.15,3.4,600
9/25/2024,1024,"60sCC*60CW 162*56/2 122"" Plain",LOOM38,N/A,N/A,282978,128.2,65.5,26,2.17,45.81,9.2,57,4.75,152.46,20.1,11,0.92,74,3.9,599
9/25/2024,1024,"60sCC*60CW 162*56/2 122"" Plain",LOOM39,N/A,N/A,340568,154.3,78.9,67,5.58,27.87,19.7,29,2.42,142.21,8.5,7,0.58,60,2.1,599
9/24/2024,1030,"60*60* 175*56/2 119""Pins Stripe",LOOM29,N/A,N/A,322538,146.1,81.4,78,6.5,41.38,24.2,15,1.25,206.07,4.7,9,0.75,89.78,2.8,550
9/23/2024,1040,"60s*60s 164*65/2 122.25""Satin",LOOM01,N/A,N/A,336461,131.2,77.8,22,1.83,30.91,6.5,32,2.67,202.16,9.5,9,0.75,51.44,2.7,600
9/23/2024,1040,"60s*60s 164*65/2 122.25""Satin",LOOM02,N/A,N/A,342670,133.6,79.4,27,2.25,44.04,7.9,36,3,106.42,10.5,8,0.67,66.25,2.3,600
9/23/2024,1040,"60s*60s 164*65/2 122.25""Satin",LOOM13,N/A,N/A,378406,147.6,84.2,17,1.42,28.06,4.5,24,2,163.33,6.3,11,0.92,71.36,2.9,624
9/23/2024,1040,"60s*60s 164*65/2 122.25""Satin",LOOM15,N/A,N/A,361784,141.1,80.4,42,3.5,30.81,11.6,21,1.75,211.81,5.8,7,0.58,74.86,1.9,625
9/23/2024,1040,"60s*60s 164*65/2 122.25""Satin",LOOM16,N/A,N/A,359746,140.3,83.3,23,1.92,46.35,6.4,19,1.58,241.26,5.3,8,0.67,64.5,2.2,599
9/23/2024,1040,"60s*60s 164*65/2 122.25""Satin",LOOM17,N/A,N/A,98778,38.9,40.8,17,1.42,67.76,17.2,21,1.75,134.71,21.3,4,0.33,71.5,4,597
9/23/2024,1040,"60s*60s 164*65/2 122.25""Satin",LOOM47,N/A,N/A,352937,137.6,81.6,7,0.58,27.43,2,40,3.33,120.23,11.3,15,1.25,108.33,4.3,600
9/22/2024,1042,"60*60 164*61/2 120""Plain",LOOM18,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/2024,1047,"60CC*40Tencel 156*75 124""Satin",LOOM04,N/A,N/A,374240,126.5,80,23,1.92,39.91,6.1,38,3.17,117.18,10.2,5,0.42,75.8,1.3,649
9/21/2024,1047,"60CC*40Tencel 156*75 124""Satin",LOOM08,N/A,N/A,374855,126.7,80.1,53,4.42,50.45,14.1,24,2,129,6.4,6,0.5,93.5,1.6,649
9/21/2024,1047,"60CC*40Tencel 156*75 124""Satin",LOOM26,N/A,N/A,370815,125.3,79.2,23,1.92,40.04,6.2,54,4.5,125.61,14.6,1,0.08,65,0.3,650
9/21/2024,1047,"60CC*40Tencel 156*75 124""Satin",LOOM40,N/A,N/A,406002,137.2,86.7,29,2.42,29,7.1,25,2.08,107.2,6.2,6,0.5,86.17,1.5,650
9/20/2024,1048,32 CC* 100D ;112*65/2 ;126,LOOM33,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2024,1049,"32CC*150Denier 112*75/2-126""Percale",LOOM35,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2024,1049,"32CC*150Denier 112*75/2-126""Percale",LOOM37,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/2024,1050,"60s*60s 195*90 128""satin",LOOM30,N/A,N/A,297143,83.8,75,42,3.5,46.1,14.1,34,2.83,176.74,11.4,8,0.67,72.38,2.7,550
9/17/2024,1053,60X60Tencilx195*95-124,LOOM20,N/A,N/A,289712,77.4,70.1,53,4.42,28.94,18.3,51,4.25,101.69,17.6,14,1.17,75.29,4.8,574
9/17/2024,1053,60X60Tencilx195*95-124,LOOM48,N/A,N/A,253122,67.6,61.3,53,4.42,38.38,20.9,51,4.25,158.63,20.1,8,0.67,109.88,3.2,573
9/16/2024,1054,100x120x220x67/7-120,LOOM46,N/A,N/A,7950,3,2.8,1,0.08,33,12.6,10,0.83,411.2,125.8,0,0,0,0,388
9/15/2024,1055,"60*60 164x104 63""+63""",LOOM05,N/A,N/A,335748,83.6,77.7,47,3.92,37.36,14,17,1.42,105.94,5.1,4,0.33,133,1.2,599
9/15/2024,1055,"60*60 164x104 63""+63""",LOOM07,N/A,N/A,340404,84.8,78.8,43,3.58,44.09,12.6,21,1.75,130.19,6.2,5,0.42,72.4,1.5,599
9/15/2024,1055,"60*60 164x104 63""+63""",LOOM34,N/A,N/A,263555,65.6,61,61,5.08,40.72,23.1,34,2.83,320.91,12.9,3,0.25,150.67,1.1,599
9/15/2024,1055,"60*60 164x104 63""+63""",LOOM45,N/A,N/A,278742,69.4,74.6,56,4.67,30.8,20.1,9,0.75,130.11,3.2,4,0.33,74,1.4,599
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM03,N/A,N/A,229298,73.6,62.6,14,1.17,74.43,6.1,77,6.42,106.18,33.6,5,0.42,64.2,2.2,508
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM12,N/A,N/A,347065,111.4,87.5,15,1.25,27.8,4.3,29,2.42,113.9,8.4,9,0.75,66,2.6,550
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM19,N/A,N/A,367035,117.8,86.1,14,1.17,31.21,3.8,38,3.17,80.66,10.4,7,0.58,60.71,1.9,600
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM25,N/A,N/A,369984,118.8,85.7,26,2.17,50.92,7,30,2.5,114.27,8.1,5,0.42,72.8,1.4,599
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM36,N/A,N/A,283964,91.2,65.8,36,3,52.58,12.7,77,6.42,89.74,27.1,8,0.67,62.88,2.8,599
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM41,N/A,N/A,283274,90.9,71.7,51,4.25,104.67,18,34,2.83,132.94,12,0,0,0,0,549
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM43,N/A,N/A,367829,118.1,92.9,17,1.42,48.47,4.6,8,0.67,85,2.2,9,0.75,66.89,2.4,549
9/14/2024,1057,"40kw*40kw* 110*80 119.5""Plain",LOOM44,N/A,N/A,347985,111.7,87.9,24,2,35.96,6.9,19,1.58,135.05,5.5,9,0.75,59.78,2.6,549
9/13/2024,1059,60Tencilx80cot:175*67/3-120 5mm check,LOOM10,N/A,N/A,280514,106.3,78.1,96,8,22.59,34.2,33,2.75,110.03,11.8,15,1.25,89.2,5.3,498
09-12-2024,1060,60x60:185*90-120,LOOM28,N/A,N/A,334001,94.2,84.3,58,4.83,41.43,17.4,28,2.33,95.57,8.4,3,0.25,65.33,0.9,550
09-12-2024,1060,60x60:185*90-120,LOOM32,N/A,N/A,148729,42.3,47.1,25,2.08,69.4,16.8,42,3.5,206.36,28.2,2,0.17,191.5,1.3,562
09-12-2024,1060,60x60:185*90-120,LOOM42,N/A,N/A,303640,85.6,76.7,53,4.42,41.19,17.5,34,2.83,163.62,11.2,4,0.33,65.5,1.3,550
,,,,,TOTAL,14065566,4931.1,69.81,32.77,2.73,36.77,10.85,28.08,2.34,133.95,12.02,8.1,0.68,67.45,2.46,535.6
