Version,Date,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26/10/2024,8:09:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last 7 shifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine,Serial,Nr,Shift,Date,Time,Picks,Length,%,Weaver %,Stops,CMPX,Time,Filling,CMPX,Time,Warp,CMPX,Time,Bobbin,CMPX,Time,Hand,CMPX,Time,Other,CMPX,Time,Starts,Speed
LOOM01,424112,Current,A,26/10/2024,8:00,6132,1.5,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549
LOOM01,424112,-1,B,25/10/2024,20:00,244015,60.8,61.8,61.8,96,39.3,6341,71,29.1,2628,22,9,3440,2,0.8,218,0,0,0,1,0.4,55,51,548
LOOM01,424112,-2,A,25/10/2024,8:00,286390,71.3,72.5,72.5,119,41.6,8542,85,29.7,2754,31,10.8,5462,0,0,0,3,1,326,0,0,0,58,548
LOOM01,424112,-3,B,24/10/2024,20:00,353041,87.9,89.3,89.3,101,28.6,4193,87,24.6,3156,10,2.8,863,3,0.8,156,1,0.3,18,0,0,0,16,549
LOOM01,424112,-4,A,24/10/2024,8:00,326116,81.2,82.5,82.5,101,31,5849,80,24.5,3135,14,4.3,2012,4,1.2,335,3,0.9,367,0,0,0,37,548
LOOM01,424112,-5,B,23/10/2024,20:00,272986,68,69.1,69.1,125,45.8,11624,75,27.5,2900,45,16.5,8448,5,1.8,276,0,0,0,0,0,0,28,548
LOOM01,424112,-6,A,23/10/2024,8:00,278191,69.3,70.4,70.4,133,47.8,11358,81,29.1,3243,47,16.9,7508,1,0.4,61,4,1.4,546,0,0,0,33,548
LOOM02,424113,Current,A,26/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM02,424113,-1,B,25/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM02,424113,-2,A,25/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM02,424113,-3,B,24/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM02,424113,-4,A,24/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM02,424113,-5,B,23/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM02,424113,-6,A,23/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM03,424114,Current,A,26/10/2024,8:00,24574,9,94.6,94.6,4,16.3,122,0,0,0,3,12.2,67,1,4.1,55,0,0,0,0,0,0,2,599
LOOM03,424114,-1,B,25/10/2024,20:00,379515,139.7,88,88,83,21.9,4509,29,7.6,1253,38,10,2597,11,2.9,539,0,0,0,5,1.3,120,17,598
LOOM03,424114,-2,A,25/10/2024,8:00,358527,131.9,83.1,83.1,94,26.2,6676,21,5.9,856,57,15.9,5016,11,3.1,583,3,0.8,152,2,0.6,69,11,598
LOOM03,424114,-3,B,24/10/2024,20:00,384338,141.4,89.1,89.1,70,18.2,4031,17,4.4,479,39,10.1,2873,11,2.9,639,3,0.8,40,0,0,0,18,598
LOOM03,424114,-4,A,24/10/2024,8:00,357657,131.6,83,83,97,27.1,6142,24,6.7,1094,58,16.2,4350,11,3.1,490,4,1.1,208,0,0,0,22,598
LOOM03,424114,-5,B,23/10/2024,20:00,370802,136.5,86,86,88,23.7,5671,16,4.3,533,59,15.9,4534,12,3.2,511,1,0.3,93,0,0,0,12,598
LOOM03,424114,-6,A,23/10/2024,8:00,367426,135.2,85.2,85.2,68,18.5,5947,12,3.3,719,40,10.9,3936,12,3.3,750,4,1.1,542,0,0,0,10,599
LOOM04,424115,Current,A,26/10/2024,8:00,6071,2.2,76.1,76.1,3,49.4,191,0,0,0,3,49.4,191,0,0,0,0,0,0,0,0,0,0,599
LOOM04,424115,-1,B,25/10/2024,20:00,380232,135.7,88,88,83,21.8,4296,30,7.9,1072,33,8.7,2278,11,2.9,573,0,0,0,9,2.4,373,20,600
LOOM04,424115,-2,A,25/10/2024,8:00,373836,133.5,86.5,86.5,69,18.5,5175,28,7.5,1264,29,7.8,2477,8,2.1,514,3,0.8,886,1,0.3,34,12,600
LOOM04,424115,-3,B,24/10/2024,20:00,389154,138.9,90,90,67,17.2,3792,31,8,1165,23,5.9,2056,7,1.8,443,2,0.5,43,4,1,85,10,600
LOOM04,424115,-4,A,24/10/2024,8:00,385388,137.6,89.1,89.1,69,17.9,4396,22,5.7,729,32,8.3,2378,13,3.4,1045,2,0.5,244,0,0,0,9,600
LOOM04,424115,-5,B,23/10/2024,20:00,391559,139.8,90.6,90.6,55,14,3526,16,4.1,559,27,6.9,2401,10,2.6,517,1,0.3,22,1,0.3,27,17,600
LOOM04,424115,-6,A,23/10/2024,8:00,373513,133.3,86.4,86.4,58,15.5,4684,15,4,773,28,7.5,2885,9,2.4,628,5,1.3,349,1,0.3,49,17,600
LOOM05,424107,Current,A,26/10/2024,8:00,7056,1.8,93.9,93.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549
LOOM05,424107,-1,B,25/10/2024,20:00,329865,82.1,83.5,83.5,104,31.5,5694,80,24.3,2941,17,5.2,2350,5,1.5,310,1,0.3,62,1,0.3,31,42,548
LOOM05,424107,-2,A,25/10/2024,8:00,266703,66.4,67.6,67.6,136,51,9372,94,35.2,4332,35,13.1,4607,6,2.2,414,0,0,0,1,0.4,19,92,548
LOOM05,424107,-3,B,24/10/2024,20:00,343216,85.5,86.8,86.8,95,27.7,4245,75,21.9,2637,15,4.4,1328,1,0.3,56,1,0.3,9,3,0.9,215,38,549
